17:56:57.845 -> red=110093, ir=50988, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:57.940 -> red=111522, ir=51290, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:58.034 -> red=112599, ir=51215, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:58.127 -> red=111398, ir=50887, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:58.268 -> red=112185, ir=51599, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:58.314 -> red=113169, ir=51913, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:58.455 -> red=113176, ir=51864, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:58.547 -> red=112897, ir=51872, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:58.640 -> red=112895, ir=51828, HR=93, HRvalid=1, SPO2=-999, SPO2Valid=0
17:56:58.734 -> red=112996, ir=51649, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:58.874 -> red=114918, ir=52285, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:58.920 -> red=114279, ir=52249, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:59.061 -> red=113882, ir=52060, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:59.155 -> red=113563, ir=52106, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:59.248 -> red=113592, ir=52037, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:59.342 -> red=113167, ir=51857, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:59.435 -> red=112156, ir=52129, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:59.529 -> red=113043, ir=52008, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:59.668 -> red=112881, ir=54439, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:59.763 -> red=121460, ir=60386, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:59.856 -> red=120977, ir=56957, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:59.950 -> red=122047, ir=57653, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
17:57:00.044 -> red=122955, ir=58566, HR=125, HRvalid=1, SPO2=98, SPO2Valid=1
